data_ciclo,timestamp_ciclo_iso,macro_hash,minihash,vinculo_minihash_macrohash,lp_id,lp_nome,gtv_brl,gtv_usd_equiv_ptax_mid,spread_total_brl,lp_spread_brl_75pct,fluxus_orchestration_fee_brl,posicao_na_fila
2025-11-03,2025-11-03T09:22:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0x92858c5074f5ce8c7f43fcaa625610d196fe7359e7591ad897d50e30,mh0x92858c5074f5ce8c7f43fcaa625610d196fe7359e7591ad897d50e30→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_001,José Rodrigues Martins,3274.19,611.98,28.84,21.63,7.21,1
2025-11-03,2025-11-03T09:23:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0x2f58aeb060dee124a3d0ea6016e68aec16178937612be7c03303fc69,mh0x2f58aeb060dee124a3d0ea6016e68aec16178937612be7c03303fc69→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_002,Marcelo Souza Cavalcanti,1924.96,359.79,18.84,14.13,4.71,1
2025-11-03,2025-11-03T09:24:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0x84a09c2f616350c7ec10521da4c4de04c3447b41caebf5b6be8d2253,mh0x84a09c2f616350c7ec10521da4c4de04c3447b41caebf5b6be8d2253→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_003,Bianca Melo Teixeira,3361.09,628.22,29.4,22.05,7.35,1
2025-11-03,2025-11-03T09:25:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0x7f00564b334369948f2a741e91a1183a960f80a42ef4dfa12fa4cc0a,mh0x7f00564b334369948f2a741e91a1183a960f80a42ef4dfa12fa4cc0a→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_004,João Melo Monteiro,1321.5,247.0,13.52,10.14,3.38,1
2025-11-03,2025-11-03T09:26:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0x27b285f99836c70eaf1c6e68f7772e9be82cc5f76ab6fa9797b2198e,mh0x27b285f99836c70eaf1c6e68f7772e9be82cc5f76ab6fa9797b2198e→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_005,Carlos Lima Pereira,5535.43,1034.62,40.35,30.26,10.09,1
2025-11-03,2025-11-03T09:27:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0xd8e937f95eeff4880b94b051ff025a915b5ddcfbeb381d57f1fa7b4f,mh0xd8e937f95eeff4880b94b051ff025a915b5ddcfbeb381d57f1fa7b4f→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_006,Marcelo Melo Alves,8437.32,1577.01,60.01,45.01,15.0,1
2025-11-03,2025-11-03T09:28:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0x19f272e3be097e046a4df78ada96cf2c21f486e0910ef8384ab8618a,mh0x19f272e3be097e046a4df78ada96cf2c21f486e0910ef8384ab8618a→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_007,Patrícia Freitas Melo,3147.81,588.35,28.02,21.02,7.0,1
2025-11-03,2025-11-03T09:29:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0x872f1bd5b623485417df1fb78e2a7d3bf29ce1af3e845155879dc16d,mh0x872f1bd5b623485417df1fb78e2a7d3bf29ce1af3e845155879dc16d→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_008,Roberta Souza Nascimento,2684.61,501.78,24.8,18.6,6.2,1
2025-11-03,2025-11-03T09:30:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0xa72564be4575ce0b6521259d0d30d50268f6bccb0ab065e84544dbc8,mh0xa72564be4575ce0b6521259d0d30d50268f6bccb0ab065e84544dbc8→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_009,Júlia Silva Moreira,5125.06,957.92,38.25,28.69,9.56,1
2025-11-03,2025-11-03T09:31:41-03:00,MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,mh0xb93a0662e273073b4949bd35cb55d6360965684ba1616937e196d355,mh0xb93a0662e273073b4949bd35cb55d6360965684ba1616937e196d355→MH0x87b97db2b6b9aea5422467ff84bf5eb0134a9470fcc6f112f487a149,LP_010,Rafael Freitas Moreira,1956.76,365.74,19.11,14.33,4.78,1
